content,sentiment
"iseng iseng berhadiah aja kak, bikin proposal dan prototype. siapa tau di acc kan hehe",netral
wkwkwkwk,negatif
kalo di acc kan bisa ikut kontribusi ke almamater kita. dibaca: cari duit tambahan :,netral
wahwahwah,positif
"di ios memang tidak ada deck, sini order ke aku buat siap for ios",netral
kok siap undip gua masih gabisa,negatif
"siap undip kalo dah mau kuliah online kok jadi bisa ya, sekalinya offline rusak mulu anj kaga siap tuh aplikasi",negatif
"yeeeyyy, siap undip udh bs dipakeee",positif
-dips INGFOOOOO SIAP UNDIP UDAH SIAP,netral
"ok min, suwun",netral
walah undip siap siap daring lagi cok,netral
siap undip app nya jelek ew,negatif
bisa pake timetree nder btw ini pictnya ss an dari aplikasi siap undip wkwkwk,netral
yeyyy bisaaa tengs ingfonyh,positif
Sm-sm diks,netral
Tinggal login saja dik,netral
Ak ska mnghabiskan duit ibuku bwat bayar ukt,positif
Cba sj dik,netral
amalan pha yg km amalkn,positif
"okew minceu, terimakasih saranny",netral
"ANJAY AKHIRNYA BISA, THANKS TO ADMIN",positif
terima kasih mimin,positif
"udah bisa kak, coba lagi deh. tapi doa dulu",netral
rilkah,positif
aplikasi SIAP Undip adalah aplikasi yg belum siap. alias min ini knp belum bisa login2 yh sy jd sering kelewat absen krn miss terus sm dosennya :,netral
"Halo dips App SIAP udah bisa loh, maaf atas ketidaknyamanannya.",netral
evil siap undip,netral
ini siap undip knp tidak pernah siap,negatif
PETISI APP SIAP UNDIP SAMPE IOS DONG PLSSSSSSS KELIMPUNGAN BGT GUE TIAP WEB ERROR,negatif
-dips SIAP UNDIP UDAH BISA YEAY,netral
Tag ah,positif
lupa password min,netral
ngopo wae min,negatif
p,positif
Dengerin tuh min,positif
"-dips Mau tanya dong. Perbedaan aplikasi Siap Undip sama web SSO apa, ya",netral
ditanyain tuh,negatif
Mohon login kembali,netral
"-dips UKT ELIT, BENERIN APP SIAP UNDIP SULIT",negatif
siap undip gak bisa login terus monyetttt,negatif
bkn anak undip tp hidup w buka siap undip mulu,negatif
aplikasi android kapan beres min,netral
Bener njir awikwok. Mana aplikasi siap undip masih ngebug mulu kalau buat presensi,negatif
Gimana nih min kapan siapnga siap lagi,negatif
siap undip bikin misuh pagi2,netral
"Plot twits undip taunya post pertama bukan mahasiswa, adminnya harus siap tempur wkwkw",netral
woy lu udh sebulan masi eror aja,negatif
-dips Apk Siap undip udh bisa login blom ya Ribet bgt absen ga pake apk,negatif
-dips kenapa ya apk siap undip ku abis aku uninstall gabisa login lagi emailpassword ny uda bener tp selalu ada tulisan mohon login kembali,netral
"langsung lah cek jaket, celana, LAH KOK BENER ILANG langsung dari situ bales dm ig terus tancep gas ke jembatan merah undip alias pake baju pergi nurunin motor lagi pdhl udah siap tidur",negatif
-dips INI SIAP UNDIP KAPAN BENERNYA,netral
INFO DONOR DARAH Kalian ingin melakukan kerjasama untuk mengadakan kegiatan DONOR DARAH Tenang KSR FKM UNDIP siap membantu kalian Ingin tahu caranya Untuk ketentuan dan SOP dapat dilihat di,netral
Siap undip,positif
siap undip error se kapan yah,negatif
Aplikasi mungkin yang dimaksud ya. Noh dicariin pengguna ipon. Pengguna nexian nyimak nih,netral
lololo pdhl ws siap ddi maba undip 23,positif
ini siap undip kapan bisanya dahh,netral
"undipconncet yang tidak connect, siap undip yang tidak siap undipakses yang tidak bisa diakses",negatif
undip bisa yuk aplikasi siap nya dibenerin,netral
-dips Apk Siap Undip masih belom bisa,netral
"Kenapa ga dari awal cari kus yg full online aja kalo ga mau offline dan ga mau keluar banyak biaya. UT misalnya. Kan undip emang kus offline, kalo disuruh offline ya harus siap sama resikonya lah",negatif
"hadeuh apasih nder ini maksudnya lu pengen kasus c word naek lagi Undip kan emang aslinya kuliah offline, sewaktu waktu emang harus offline ya harus siap, karena emang harusnya begitu. kalo mau kuliah online terus kenapa gak nyari kus lain aja yg online dari awal",negatif
maintenance sai kapan min Udah dari lama ga bisa log in,netral
App siap undip dah ga error,positif
-dips ini siap undip belum siap juga ya,negatif
GUA MASIH GABISA ABSEENNNN BGGSTSTTTTTT BENCI BGTTT GUE AMA SIAP UNDIP AJJJGGGG,negatif
min ini kapan aplikasi SIAP bisa siap lagi Ribet banget presensi harus buka tutup web terus.,negatif
gak adil bgt app siap undip tidak ada di ios mnyedihkan,negatif
-dips aplikasi siap undip emang lagi error kah udah lama banget ga bisa login,negatif
"KENDALA SURVEI KULON halo ficip PENGUMUMAN Kepada mahasiswa FISIP diharapkan mengisi kuisioner tentang SSO, SIAP, KULON untuk penyaian aspirasi kepada rektorat",netral
"Halo min Untuk app siap sai skrg blm bisa masuk ya Saya udh coba di dua hp android masih belum bisa juga, tolong bantuannya. Terima kasih",netral
"iyaa gabisa, kenapa ya min",negatif
i know dan gue diem deh siap mengajakmu ke bukit undip,positif
"Soalnya emang beban bgt njay, kek aku berharap bgt sama sbmptn ini, udah ketolak snmptn sama japres its, kek hada harapan lg masuk its. Padahal saat itu aku udah buat semua akun univ siap siap mandiri, undip, unnes, uns, unsoed, aplg ya lupa. Tp akhrnya lolos, makazi semua",negatif
"udah siap siap dpt semangat malah dpt barcode. bner2 ga expect ap2 si di utbk soalnya bner2 fokusin bljr skd, bljr utbk tu kurang bgt. dan skd ny nt jd wkwkw jd yakin bgt kalo utbk jg nt. eh alhamdulillah dpt. paginya nangisin ga lolos kedinasan, sorenya dpt ganti undip hehe",negatif
"-dips Serius tanya ini emg blm bisa ya login aplikasi Siap Undip aku coba barusan msh error takut punyaku aja huhu, dikalian gmn udh bisa login thankyou, btw siap undip kapan ya bisa loginnya normal kayak dl capek hrs login via web mana hpku gbs pake undipconnect lg",negatif
"Hai, MABA FKM Undip Gimana nih kabarnya Udah siap belum untuk mengikuti GORe pada hari ini Pastinya excited banget kan ya Semangat mengikuti rangkaian kegiatan GORe FKM Undip 2022 dan jangan lupa tetap jaga kesehatan Think Big With Riset",positif
-dips Apk Siap Undip kapan benernya sihhh,netral
Aplikasi yg menurut gue paling nyusahin itu SIAP UNDIP,negatif
SIAP UNDIP flop bgt parahhhh,negatif
"sudah siap kan Apa aja sih yang harus disiapin YUk, swipe-swipe informasi di atas Go get ready for Geodetic Opening Research Geodesi Satu Semangat Maju Jaya ---------------------- HM Teknik Geodesi FT Undip 2022 Ciptakan Karya Bersinar Bersama",positif
"Jurusan impianku Statistika dan Univ impianku Undip. Aku dom Kebumen, Jateng. Untuk ongkirnya aku siap nanggung kak. Semoga buku ini jadi rezekiku dan jadi tambahan buat sumber belajarku. Semoga rezeki dan segala urusannya kakak selalu lancar.",positif
percuma beli ip gabisa di donlot siap undip jg /hj,negatif
siap undip kalian masih eror nggak -dips,negatif
"Siap kak, undip ada tim dance jg kah",netral
"-dips buat para maba, udah pada bisa login aplikasi SIAP UNDIP",netral
pake iphone gabisa absensi siap undip kenapa ya,negatif
"-dips ini emg login apl siap undip di andro error ya kok gw login pdhl udh bener semua ada tulisannya mohon login kembali alias kaga bisa login deh knp yaa ada yg sama ga help dongg gais,thankyou",negatif
Terpaksa pake web sih Min gimana niiii,negatif
Min aplikasinya dah bener belom Lama banget -dips,netral
-dips Serius tanya kan gw udh ganti pasword sso undip nah otomatis di siap undip paswordnya jg keganti kan ya thankyou yg udh jawab,netral
"-dips Serius tanya caranya ganti pasword sso dan siap undip itu gmn ya susah ga si jujur gw blm pernah ganti pw soalnya takut, thankyouu",negatif
Mimin kapan nih aplikasinya bisa digunakan kembali. Dari kemaren gabisa login,netral
"Anak undip tapi masih belum coba potong rambut di Goldmind Cobain deh, Barberman kita siap membuat tilan rambutmu tambah keren Langsung aja cek ig kita Jl Sirajudin no. 20 depan indomart",positif
"Permasalahan yang sama tiap semester wkwk, siap yang ga siap",negatif
Siap yang ga siap siap,negatif
"-dips pengen ngajak berantem deh lama lama, udh lemot sm eror mulu",negatif
Gws lo siap undip,positif
Siap undip yang selalu gak siap,negatif
kapan siapnya ya min gagal mengambil data terus nih min,negatif
"-dips kira-kira aplikasi siap undip kapan ya bisa digunain, males bgt kalo absen susah login di sso apalagi sinyal sering ngadat",negatif
"Selain itu gaada alasan lagi buat nangis. Terus bener bener hopeless, udah siap kalo taun ini ga kuliah, tiba tiba dikasih kejutan sama Allah diterima di UII sama UNDIP secara berurutan. Itu kayak bener bener aku abis nangis terus akhirnya aku gabisa berhenti buat bahagia",negatif
"Anak undip tapi masih belum coba potong rambut di Goldmind Cobain deh, Barberman kita siap membuat tilan rambutmu tambah keren Langsung aja cek ig kita Jl Sirajudin no. 20 depan indomart",positif
siap undip blm siap,negatif
kenapa nih minnn,negatif
emg bgst sumpah grgrr app siap undip ini aku jd beli android eh rupanya malah gabisa anjeng mmg,negatif
siap undip monyet nih GUA MAU ABSEN GABISA,negatif
siap undip sah banget anjiingg error mulu,negatif
siap undip kenapa lemot bgt fak susah absennya,negatif
min ini siap masih error Saya masih gak bisa login,negatif
Susah men,negatif
pake browser hp bisa kok kak,netral
Buka siap gt jurnal yg dilanggan undip gt pilih mau buka dr web mana science direct/jstor/lalalala gt tinggal cari metode/judul jurnal,netral
"Anak undip tapi masih belum coba potong rambut di Goldmind Cobain deh, Barberman kita siap membuat tilan rambutmu tambah keren Langsung aja cek ig kita Jl Sirajudin no. 20 depan indomart",positif
udah baca 99 menfess yang nanya aplikasi siap undip error apa nggak,netral
harus di laptopkah min,netral
Ya itu balik ke mahasiswanya mau ngomong apa engga. Bukan dari pihak sso nya yang suruh bagiin link nya atuh,negatif
Ada kok,positif
siap menjadi bagian dari undip turu 2022,positif
-dips INI APP SIAP UNDIP KAPAN BENEEER,netral
Siap kak_,positif
Gabisa login nii,negatif
halo min aplikasinya masih maintenance kah -dips,netral
"Min punya temenku pada bisa, punyaku ko selalu gini ya. Apa aku masih disuruh libur aja",negatif
Se kapan yah min SIAP nya error,negatif
"Masih belum bisa log in apk siap, padahal udah mulai kelas",negatif
Cdm kak,positif
lewat web aja cepet,positif
Mjb ada yg bisa dititipin mf,netral
"karena error, absensi dapet 1 sks sendiri -dips",netral
monggo nder,positif
"app siap lagi maintenis min, bisa pake web siap dulu",netral
Aamiin,positif
ohh iya makasih ya min,positif
"app siap lagi maintenis kak, bisa presensi pakai web siap ya kak.",netral
saya ga bsa masuk appk siap trus min,positif
Bismillah tahun depan S2,netral
gas s2,netral
Haduh kangen kuliah min sayang udah lulus wkwk,positif
"semangat kuliah dips, coba liat mana nih yg udah scan.",netral
ga bisa login minn,netral
siap undip masi blm siap po,netral
"SIAP Undip bermasalah terus, nih. Hari ini kuliah, woi",negatif
"Min, ga bisa log in ini gimanaa",negatif
Turu turu besok ada turnamen,netral
tuh sabarrr,positif
Min apk nya lg bermasalah ya Masa gak bisa login,negatif
"Siap undip kok waktu login gak bisa sih, malah disuruh login kembali. Gimana ini tehhh",negatif
"Bilangin itu uang ukt kita buat beli server min, tiap awal semeter pasti down ssonya",negatif
langsung menghubungi operator prodi ya. kontaknya tertara di pop up saat buka halaman akademik,netral
Ga bisa login min,negatif
"1. Login sso, pilih siap undip 2. Ada dua cara : a. buka new tab, masukin link absen, ntar udh keabsen sendiri b. klik absensi camera di siap web, scan kayak biasa 3. Kalo masi ga yakin absen nya udh masuk apa belum, buka aja yg bagian jadwal kuliah, klik liat absen -c-",netral
Mangkanya saya tumbas andro second yg ga smpe sejutaan kak tuk bisa download apknya,netral
"Kak, request siap di iphone dong. Versi apk sama web yg bisa di mode desktop.",netral
baru tau siapundip ada twitternya wkwk,netral
Ini siap undip ngapa msh blm bisa dibuka,netral
tak dongake cepet lulus kak,positif
"Terimakasih sudah mengingatkan, min",positif
Waduh selak lulus nderr,negatif
"Omg, hlo admin",netral
Ntar deh mas tumbasnya pas semester genap,netral
ide bagus,positif
Tumbas andro sj Kak spt saya,netral
"oiyaa, pastikan IRS sudah disetujui ya, karena kalo belum disetujui gk bisa presensi kuliah. ayoo pada dicek IRSnya",netral
harus disetujui dulu nder. kalo belum gk bisa presensi loh.,netral
hehe sabar ya yg ios,positif
Kalo buat ios kapan ada min,netral
Jangan gitu lah min,negatif
"kudu demo berarti nder, tolong naikan anggaran humas undip, upgrade sistem kan pasti butuh biaya padahal ukt dan spi anak mandiri udah mahal bener yaa",negatif
"sabar kak, sedang dalam penanganan pihak berwenang. admin gk berwenang soalnya.",positif
Sorry to say. Mending aplikasimu yg sering down itu segera diperbaiki nder. Kami sdah bayar mahal tp aplikasinya malah gak Siap.,negatif
"min, info dong, app siap kapan bisa digunain lg",netral
Kl kuliah offline tetep pake barcode ya min abesennya,netral
"gak ko kak, akunnya cuma 1.",netral
Lupa ganti akun apa gimana ini,netral
sabar nder sabar. orang sabar disayang prof yos,positif
"Ya kau pikir ajalah, min",negatif
"knpa gk tanya kating 20,21 nder",negatif
masih maintenis kak. pake web siap dulu ya.,netral
Meluk agama min,negatif
400 no nego kak,netral
"ohh gitu min okeee, meluk guling nim",netral
app siap lagi maintenis kak. btw meluk siapa kak,netral
"mimin mau tanya, tiap kali login app pasti ga bisa harus login ulang terus itu gimana ya memang meluk bisa kah",netral
"...b.Akses link presensi, masukan link yg dibawah barcode ke address bar di browser 7. Jika berhasil presensi, akan muncul bukti presensi. Jangan lupa discreenshot ya buat bukti. Sekian panduan singkatnya. Semangat kuliah",positif
"5. Di dashboard tertera data pribadi dan foto menawan kalian 6. Untuk presensi kuliah bisa pake 2 cara ...a. Scan barcode, klik menu presensi kuliah, langsung aja deh scan barcode yang dikasih dosen pengu",netral
"Panduan presensi kuliah 1. Login Web SSO di browser kesayangan kalian 2. Di dashboard SSO, cari dan klik SIAP. Klik sekali aja, gak usah double klik 3. Tunggu beberapa saat, bentar banget gk se sejam 4. Jika berhasil login SIAP, akan muncul dashboard SIAP",netral
-dips Ini apk siap undip emang gabisa log in ya,netral
-dips Aplikasi SIAP undip ga ada di ios ya Berarti tiap perlu kudu login di browser Thx,netral
siap undip ko gabisa login mulu siii mana beso uda masuk kuliah,negatif
Siap undip know me better,positif
"-dips SIAP Undip masih error ga ya, dari tadi coba login ga bisa",netral
ini siap undip kapan siapnya deh -dips,netral
-dips SIAP undip app masih gabisa dibuka,netral
Siap undip h-1 kuliah bisa bisanya masih error,netral
sementara scan pake Web SIAP dulu ya dips,netral
"mau tanya dong, emang apk siap undip tuh ga bisa ya sy maba -dips",netral
Semoga bisa jalan sebagaimana mestinya ya min. Semangat,positif
jelek lu siap undip,negatif
"Pantes gabisa login, yowes min Semangat",positif
Gws min,positif
"Halo dips, untuk sementara app SIAP lagi maintenis ya. Untuk presensi bisa pake menu presensi di Web SIAP atau link presensi seperti yg dijelaskan dibawah",netral
"min benerin atuh, senin udah pada kuliah nih",netral
"Jual:siap jadi juragan kost,termurah ladang duit ring 1 kus UNDIP di semarang",netral
-dips GAIS APP SIAP UNDIP GABISA LOGIN INI ERROR PUNYA GUE ATAU SEMUA GINI,negatif
-dips Ini kapan siap bener ya Allah . Siap Undip yg tidak siap,negatif
Ini kalian yg ruang papua sadar tidak kak TCE kita bahas apresiasi dulu baru evaluasi. Karena aku ngasih pesan di kertas truss dibales SIAP undip,negatif
semoga dengan eror nya siap undip maksudnya lagi mau ada di ios -dips,netral
"Bagi warga undip yg gabawa kendaraan, aku open jasa ojek nih siap nganterin ke kus dan sekitarnya. Cewe/cowo boleh kok, sender cowo motor vario Komen aja ntar aku ketuk DM nya -dips",netral
-dips apk SIAP UNDIP ko masih error yaa,negatif
aplikasi SIAP UNDIP lagi error ya,negatif
"Buat warga undip khususnya ciwiciwi yang ga bawa kendaraan, aku open jasa ojek nihhh, siap mengantar kemanapun kamu mau. harga murceeee sayy... Avail jam dari jam 7 Sender cewe motor beat -dips",positif
Sm sy aja kak. Mumpung libur kerja besok. Siap antar area kus undip,netral
Buat teman-teman Gizi Undip yang udah siap mengasah keterilan desain dan public speaking langsung aja daftar di link berikut: Pssttt... Hasil desain dan public speaking terbaik akan dapat hadiah lhoo CP: Anindya Niken WA: 08112901141,netral
Siap undip lg erorr ya apa gmna si,negatif
"Halo, warga PSMT Undip Apakah kalian siap Tinggal beberapa hari lagi menuju 11th Engineering in Harmony Chordus Ignis Mari kita melihat video teaser berikut ini. link video :",netral
"-dips mau masuk apk siap undip kok gabisa ya, tiap kali login slalu muncul tulisan mohon login kembali terus",negatif
-dips Siap undip error ta aku kok nda bisa login ya,negatif
"Kukuhkan 1.535 Baru, Sekolah Vokasi UNDIP Siap Lahirkan SDM Berkompeten",netral
"gue beruntung bgt punya emak gue. Ngeluh wifi kostan jelek, emak lgsg bilang pasang wifi aja ntr dibayarin trs cerita kalo siap undip enak di android malahan mo dikirimin hp EMAK GUE ALASAN GUE BEAHAN IDUP",negatif
"Halo Biologist VOB Mengudara Halo VOBilia Udah siap belum nih menjalani perkuliahan secara offline tenang aja, karena kali ini VOB podcast bersama dengan narasumber Tadzkirotul Laili Nur Fahma dari Biologi 2019 bakal ngobrolin serba-serbi kuliah offline mulai dari adaptasi,",positif
"aku juga buka jasa ojek, area undip dan sekitarnyaaa siap jemput dari kost an se ke kus. tarif nya 8k ajaa kalo mau di luar kus juga bisaa, tarifnya nanti sesuai sm jarak nya aja khusus cewe ya kak, aku cwe ko santaii",positif
"min aplikasi siap undip lg kenapa ya dari seminggu yg lalu mau login ngga bisa², muncul mohon login kembali terus",netral
-dips Aplikasi siap undip tuh lagi ada masalah kah Aku dari abis irsan se sekarang gabisa login terus lewat appsnya masa,negatif
-dips guys aplikasi siap undip bisa dipake di aipun ngga sempet baca rep ada yg bilang bisa ada yg ngga,netral
-dips kak mau tanya ini emg siap undip gabisa didownload di ios ya pilih kasih ihhh,netral
bakal kangen sama siap undip walaupun aplikasinya rodok rodok,positif
SELAMAT HARI PRAMUKA Tumbuhlah menjadi tunas bangsa yang selalu berkarya dan berprestasi bersama seluruh bangsa siap sedia membangun keutuhan NKRI. Selamat Hari Pramuka ke-61.,positif
nct azah siap menggebrak undip dengan im about to raise the roof,netral
-dips Pada bisa login di aplikasi SIAP UNDIP ngga,netral
Siap undip sih pastinya,positif
apk siap undip lagi error kah aku ga bisa login -dips,negatif
"Sesepuh undip, sebelum ada SIAP UNDIP kita dulu pake apasih buat KRS-an Lupa namanya, pokoknya login pake nim sm tanggal lahir -dips",netral
"Ini dapet dari mutual Iyaaa aku maba, jadi ntar kamu login sso gt pilih siap undip gt pilih akademik gt pilih IRS",netral
"mantaaap ik, selamat kak",positif
Lewat sso terus ke siap undip,netral
Si paling iphone dah ini.. Absen barcode siap UNDIP jg masih pinjem temen yg pake android kan Atau antum ribet buka web siap undip dulu,negatif
"KKN TIM II UNDIP 2021/2022 Saya siap melaksanakan KKN TIM II Universitas Diponegoro periode 2021/2022 tanggal 5 Juli-18 Agustus 2022. Ikuti terus keseruan KKN di Desa Nganjat, Kecamatan Polanharjo, Kabupaten Klaten",positif
siap undip lg eror apa gmn siiii dr kemaren gk bisa dibuka,negatif
YA ALLAH KALO BOLEH JUJUR HAMBA SUDAH SIAP JADI MABA KOMUNIKASI UNDIP TAHUN DEPAN,positif
uhh siap undip sih soalnya kalo kaga lu kaga bisa absen,negatif
"Siap siap, kalo ada warmindo ORI yg kaya di UGM, Undip dkk pasti ada burjonya kalo disini gak ada soalnya cuman warmindo viral gitu doang.",positif
Gaada,negatif
"jangan jangan iri, jangan jangan iri, jangan iri dengki . mangaaaat kak",negatif
"mantaaaap kak, ada artisnya gk",positif
"Sudah login di sso menggunakan browser kak, tapi tetep gagal",netral
wih ada yg lagi upacara PBM nih. semangaaat dips.,positif
"pastikan sudah login SSO dulu di browser kesayanganmu, dilanjut login app SIAPnya",netral
"PROFIL MAHASISWA Perkenalkan, saya Ilham Nurdiansyah dari Ilmu Pemerintahan angkatan 2019. Siap melaksanakan KKN TIM II UNDIP tahun 2021/2022.",netral
"Geges agenda fri, august 12th 2022 04.30 wake up wake up 04.35 ciduk gk ada shower jdnya ciduk 04.55 make up tipis tipis sekalian siap² 05.15 sarapan seadanya dik, biar gk pingsan 05.30 udh siap tinggal nunggu ayah 05.45 berangkatt ke undip simulasi magang",netral
apk siap undip kenapa dah aku gabisa login,netral
KENALAN YUK Hai semua Perkenalkan saya Adyuna Riana Putri dari Program Studi Kimia Fakultas Sains dan Matematika siap mengikuti dan berkontribusi penuh dalam kegiatan Kuliah Kerja Nyata,netral
"Hayo adek maba UNDIP, udah siap belom upacara PMB Siap lah, soalnya ga kyk kus yg nyita sunblock dan sunscreen Chuaaakkzzz",positif
"Annyeong, FKM Gimana nih, udah siap kuliah offline atau belum Semoga selalu semangat ya Kesma hadir lagi nih, kali ini kesma membawa informasi terkait PERPANJANGAN waktu pembayaran UKT Semester Ganjil 2022",netral
Siap menyambut mahasiswa baru psikologi undip alias baru tadi pagi sadar kalau aku adalah ikut jadi fastor pendikar,positif
"halo admin, saya mau login app siap kenapa susah sekali ya, malah balik ke halaman pertama terus",netral
ga punya jakun uwiw kelautan undip siap provide jakun buat anda semua,positif
-dips app siap undip error,negatif
"Akutu se ngikutin tata cara essay orang2 mau daftar lpdp, ngikutin essay orang2 dpt beasiswa dll, essay aku juga referensinya dari jurnal2, pake parafrase pokonya kya anak kuliah bgt deh udah siap bgt bikin essay buat kuliah di undip. Dan akutu puas si sm hasil essay aku",positif
-dips app siap undip lg eror kah,negatif
-dips Kapan siap undip available di ios pliss,netral
-dips Ini Form Vaksin di SIAP Undip dah ga ada yak,netral
siap undip kenapa seeeehhhhh gue udh deg degan nungguin dok aris malah eror,negatif
SIAP UNDIP SINI BERANTEM,negatif
cuma bisa berdoa dan berharap semoga siap undip gak menyebalkan,positif
ditanya ga tuh sm siap undip -dips,netral
"Nihao Ada info beasiswa baru nih Penasaran Beasiswa ini merupakan beasiswa Grab yang siap membantu kalian. So, buruan cek persyaratan dibawah ini Persyaratan: 1. Calon penerima beasiswa yang telah diterima Program S1 di Universitas pada tahun ajaran 2022/2023",netral
"Hallo semua Saya Rizca Andriana dari FK Undip, siap melaksanakan KKN pada : Tanggal : 5 Juli 2022 - 18 Agustus 2022 Lokasi : Kel. Pesanggrahan, Jaksel. DPL : Prof. Dr. Ir. Florentina Kusmiyati,",netral
"Hallo semua Saya Rizca Andriana dari FK UNDIP, siap KKN pada 5 Juli 2022 - 18 Agustus 2022 Pesanggrahan, Pesanggrahan, Jakarta Selatan. DPL : Prof. Dr. Ir. Florentina Kusmiyati,",netral
"The Alton Residence, Perfect Residence to You. The Alton Residence adalah apartemen mahasiswa eksklusif siap huni dengan fasilitas terlengkap yang terletak di depan gerbang kus Undip Tembalang.",positif
"The Alton Residence, Perfect Residence to You. The Alton Residence adalah apartemen mahasiswa eksklusif siap huni dengan fasilitas terlengkap yang terletak di depan gerbang kus Undip Tembalang.",positif
"The Alton Residence, Perfect Residence to you. The Alton Residence adalah apartemen mahasiswa ekslusif siap huni dengan fasilitas terlengkap yang terletak di depan gerbang kus Undip Tembalang.",positif
"Saya Naily Fairuz Salma El Milla dari Prodi S1 Kedokteran Umum Fakultas Kedokteran Universitas Diponegoro dan saya siap mengikuti KKN Undip periode 2021/2022 di Kelurahan Gondoriyo, Kecamatan Ngaliyan, Kota Semarang",netral
Halo Perkenalkan saya Aulia Listyaningrum dari Departemen Akuakultur Fakultas Perikanan dan Ilmu Kelautan dan saya siap mengikuti segala kegiatan KKN UNDIP Periode 2022,netral
-dips kapan bisa pake ios min,netral
aku siap merantau menjadi anak fisika undip,positif
